TICKER,SETOR,COTACAO_FECHAMENTO,VALOR,LIQUIDEZMEDIADIARIA,PVP,YELD,MEDIA_YIELD_12M,SOMA_YIELD_ANO_CORRENTE,RENTABILIDADE,NUMERO_COTISTA,TX_GESTAO,PATRIMONIO_LIQUIDO
BNFS11,Agências de Bancos,75.0500,72,139630.61,0.9291,1.2800,1.3233,6.6100,-12.2301,5793,,54402221.9000
BODB11,Outros,7.6300,7.56,1210832.17,0,1.3100,1.0167,7.4700,10.6036,0,,0
BPFF11,Fundo de Fundos,60.4900,57.85,218694.56,0.8555,1.0200,1.0425,5.5200,13.8695,20843,,313292654.5900
BPLC11,Misto,---,0,,0,0.0000,0.0000,0.0000,---,114,,323509063.61
BPML11,Shoppings,78.9300,80.2,1480047.5,0.6103,1.3600,1.4225,5.8600,31.8483,5406,,974638097.9600
BPRP11,Imóveis Industriais e Logísticos,---,107.5,1075,0.8561,0.0000,0.2233,4.5400,---,171,,169496975.27
BRCO11,Imóveis Industriais e Logísticos,112.9200,109.99,3006990.94,0.9392,0.7700,0.8442,4.2800,22.6823,118309,,1882284494.9300
BRCR11,Lajes Corporativas,39.9600,42.52,1446527.5,0.498,1.1300,1.1533,4.8000,8.3860,125898,,2312843296.5300
BREV11,Lajes Corporativas,105.0000,105,147816.11,1.6455,0.5500,0.0000,10.0300,22.0818,8102,,0.0000
BRFT11,Misto,85.7700,82.1,40378.72,0,1.4200,1.5373,7.7400,23.0386,0,,0.0000
BRIM11,Fundo de Desenvolvimento,513.2200,559.95,23956.78,1.2123,21.9700,6.0258,44.7700,5.8228,558,,56420825.39
BRIP11,Fundo de Desenvolvimento,849.0000,931,17853.11,1.2737,3.8300,3.7542,20.9700,43.6669,404,,157506611.07
BRLA11,Imóveis Industriais e Logísticos,146.9900,148,21194.28,0.841,0.7800,0.3867,4.6400,5.0598,435,,815145198.3800
BROF11,Lajes Corporativas,47.8300,49.65,642328.67,0.4607,1.2300,1.1075,4.8900,26.2563,9467,,1271282004.34
BRZP11,,124.9900,126.49,1247958.56,0,0.5300,0.6500,3.3200,43.7416,0,,0
